22.22222,44.44444,33.33333
43.75000,0.00000,56.25000
64.28571,0.00000,35.71429
0.00000,16.66667,83.33333
64.28571,14.28571,21.42857
46.66667,13.33333,40.00000
0.00000,50.00000,50.00000
60.00000,20.00000,20.00000
46.66667,6.66667,46.66667
41.66667,8.33333,50.00000
62.50000,12.50000,25.00000
69.23077,15.38462,15.38462
46.15385,7.69231,46.15385
22.22222,5.55556,72.22222
0.00000,44.44444,55.55556
35.71429,28.57143,35.71429
75.00000,0.00000,25.00000
42.85714,0.00000,57.14286
100.00000,0.00000,0.00000
25.00000,0.00000,75.00000
18.18182,45.45455,36.36364
62.50000,25.00000,12.50000
42.85714,35.71429,21.42857
33.33333,16.66667,50.00000
66.66667,0.00000,33.33333
63.63636,27.27273,9.09091
29.41176,11.76471,58.82353
23.07692,23.07692,53.84615
54.54545,18.18182,27.27273
45.45455,9.09091,45.45455
76.92308,7.69231,15.38462
38.46154,23.07692,38.46154
33.33333,33.33333,33.33333
29.41176,11.76471,58.82353
66.66667,8.33333,25.00000
64.70588,0.00000,35.29412
25.00000,33.33333,41.66667
41.66667,0.00000,58.33333
